,class
43630,0
40796,0
33798,0
17454,0
41161,0
14063,0
34730,0
9186,1
4559,1
9488,1
45201,0
13935,0
42383,0
14002,0
41663,0
47876,0
17300,0
22286,1
43657,0
2414,0
19460,0
35497,0
1175,0
44681,0
27841,0
31618,0
24138,0
30117,1
25928,0
22620,0
10336,0
5635,0
32705,0
36171,0
24209,0
41120,1
39459,0
5715,0
48220,1
24997,0
6446,1
24003,0
47235,1
21865,1
42490,1
8098,0
21399,0
12104,0
36216,0
3516,0
29281,0
25484,0
32420,1
25439,0
42217,0
48629,0
48403,0
28484,0
16635,1
45668,0
46483,0
23693,0
40854,0
20665,0
33005,0
5433,0
27914,0
42474,1
22106,0
17951,1
42757,1
25123,0
20044,1
20517,0
28690,0
41275,0
2420,0
35211,1
2303,0
11362,0
5481,0
47497,1
3976,0
16460,0
35916,1
11569,0
39861,0
47783,1
2066,0
33438,0
40868,0
24355,1
30383,0
31576,0
11451,0
34189,1
19456,1
45219,0
40228,0
36845,0
24876,0
14179,1
12779,0
1123,0
2129,1
19585,0
25998,0
16522,0
11998,0
38254,0
40651,0
29752,0
8788,1
16578,0
47418,0
42021,0
40660,1
44588,0
14559,0
29312,0
1703,0
37405,1
17926,1
19073,0
38907,0
29349,0
27347,1
28205,0
9493,0
40203,0
31282,1
47591,0
47751,0
5937,0
1678,0
23322,0
39516,0
47356,0
13316,0
7594,0
5046,0
12126,0
43262,1
42756,0
39989,1
5589,1
31824,1
11199,1
3005,0
11612,0
37095,0
47557,0
35699,0
29913,0
539,0
2088,0
18962,0
36790,0
30116,0
19627,0
8950,1
14198,0
14935,0
2915,0
26853,0
42628,1
149,0
14109,0
32538,0
16099,1
10908,0
4936,0
20579,0
30313,0
27078,0
12839,0
31914,1
48010,1
35640,0
29090,1
21016,0
22597,0
39493,0
30833,0
46919,0
40542,0
24575,0
13619,0
39723,0
12153,0
45032,0
18383,0
39969,0
34948,0
44952,1
34338,0
3115,1
41076,0
46191,0
35041,0
27811,1
46198,0
34950,1
17945,0
42329,0
46941,0
4691,0
6075,0
4131,0
41153,0
14458,0
19336,0
39591,1
45088,0
8472,0
7633,0
31432,0
5946,0
1369,0
3701,0
36711,0
2652,1
48640,0
25536,0
32808,1
42731,0
25642,0
37973,0
18426,0
30756,0
19417,0
36511,0
45350,0
27240,0
13714,0
36818,1
42224,0
8714,0
25225,0
35704,0
30252,0
10296,0
26116,0
48636,0
12500,0
10426,0
23528,0
38910,0
44444,0
13515,0
17653,0
26932,0
19789,0
27929,0
35383,0
22806,0
4016,1
48421,0
3251,0
32732,0
8689,0
45154,0
4651,1
11627,0
36181,1
815,1
8043,0
44687,0
45142,0
29139,0
34095,0
13031,0
33579,0
807,1
41167,0
14326,0
42963,0
42920,1
19149,0
27858,1
19855,1
29,0
20720,0
15829,0
40635,0
10060,0
31682,0
44818,1
14494,0
42097,0
36989,0
8231,0
8792,0
9087,0
34470,1
16570,0
14192,0
4815,1
9305,0
22055,0
44912,1
20733,0
29246,0
41746,1
12032,0
15432,0
11786,0
3071,0
47160,0
31973,1
42251,0
37826,0
32066,1
3337,0
37254,0
32187,0
40553,1
19328,0
4594,0
29122,0
1205,0
1638,0
42243,0
9314,0
23215,1
32540,1
29177,0
23492,0
3992,0
23917,0
39841,0
41704,1
24676,0
11430,0
21719,0
28194,0
47936,1
44828,0
3322,1
6499,0
40126,1
11907,0
30714,1
10489,0
18262,1
22317,1
30718,0
28379,0
43093,0
12867,0
37841,0
17656,0
38447,0
5223,1
10364,1
34813,0
15270,0
29838,0
35482,0
39038,0
28911,0
33791,1
12624,0
26739,1
35570,0
3763,1
30927,0
9910,0
46248,0
21302,0
3345,0
4553,1
44357,1
35580,0
13081,0
23597,0
9113,0
27228,0
146,0
43491,1
27812,0
41774,0
24288,0
5619,0
40199,0
25273,0
5292,0
17228,1
2423,1
40040,0
14050,0
31154,0
39089,0
37622,0
4188,0
46062,0
35890,0
14937,0
44885,0
21939,1
23627,0
30173,1
17746,0
48181,0
14149,1
9141,0
26352,0
21167,0
948,0
22383,0
39898,0
4512,0
31829,0
27446,0
43103,1
5407,0
847,0
9934,0
27568,0
8599,0
5159,0
23926,1
35221,0
39409,0
10554,0
39611,0
8623,0
3458,1
9532,0
43120,0
31880,0
6436,0
21112,0
20113,0
29150,0
28180,0
12848,0
6238,0
40558,0
9551,0
19645,0
5958,0
27113,0
18530,1
15682,0
13351,0
1581,0
34970,0
12393,1
32047,0
13214,0
120,0
12615,0
30191,0
41404,0
13421,1
29965,0
13323,1
5974,0
32088,0
23762,0
22853,0
37672,0
40148,1
37693,0
21574,0
27450,0
20812,0
33954,0
33421,0
48476,1
25218,0
15892,0
36520,0
5042,1
39619,0
2948,0
8693,0
46247,0
3189,1
12271,0
42945,0
21438,0
31115,0
18746,1
38576,0
35996,0
572,0
31610,0
36282,1
42838,0
35047,0
531,0
35546,0
22453,0
15373,0
38083,0
29608,0
591,1
26024,0
41095,0
17886,0
21741,0
41920,0
39879,1
34139,0
20305,1
14446,1
25671,0
11126,0
34429,0
18261,0
43791,0
15903,0
13067,0
20107,0
47429,1
5165,1
32216,0
33084,1
5708,0
38601,0
2710,0
20505,0
35170,0
44778,0
9020,1
11063,0
48746,0
31358,1
22831,0
47239,0
38816,0
37905,1
46277,1
44235,1
22477,1
26591,0
23526,0
29081,1
43865,0
30739,0
24465,1
11497,1
10664,0
43123,0
10872,0
9828,0
8781,0
46045,0
8066,1
47022,0
38281,1
24509,0
24925,0
37579,0
31619,0
34959,1
8555,0
20097,0
34876,0
33326,0
29998,0
35034,0
6491,0
47648,1
6629,0
33982,1
44154,0
41381,0
30824,0
35828,0
40363,0
46366,0
48184,1
41086,0
1164,0
34968,0
42866,0
46848,0
42729,0
12052,0
41913,1
45804,1
16774,0
8580,0
24035,0
35137,0
36535,0
34420,0
3833,0
28260,1
47626,0
37542,1
25108,1
19754,0
39791,0
24255,1
45900,1
27902,0
15140,0
42438,0
37675,0
3480,0
28390,1
33174,0
47198,0
42495,0
26876,0
39997,1
16095,0
18013,0
38648,0
47456,0
30789,0
3129,0
42887,0
22345,0
20586,0
5022,0
42909,0
22002,0
39810,0
18794,0
6874,0
7767,0
23565,0
9949,1
28963,0
31772,0
43958,0
3858,0
27703,0
5368,0
2751,0
32830,0
14131,0
42050,0
47193,0
19291,0
5137,1
17820,0
27663,0
45389,0
4632,0
19731,0
37819,0
37949,1
8481,0
35252,1
7834,0
6267,0
21255,1
23101,0
42209,0
12526,0
6533,0
11548,0
16509,0
30358,1
28943,0
15066,0
10417,0
11688,0
48278,1
8464,0
22322,0
38241,1
47051,0
4322,0
45182,0
24421,0
31482,0
16986,1
47337,1
15222,0
20774,0
1796,0
10666,0
31782,0
24331,0
22541,0
23971,1
42488,1
13503,0
12484,0
20191,0
34493,0
24272,1
48036,0
40852,1
46362,0
44399,0
34200,0
20721,1
35831,1
39994,0
46063,0
37178,0
23473,0
28964,0
41997,0
2277,0
13950,0
34469,0
48391,0
13611,0
36305,0
47027,0
10358,0
4017,0
1276,0
25850,0
27927,0
5458,0
12282,1
10985,0
5859,0
10530,0
10499,0
15628,0
24042,0
16584,1
39647,1
46079,0
23218,0
46138,1
27686,0
16921,0
13093,0
44809,1
47719,0
26145,0
14718,0
9312,0
20084,0
5164,0
42987,0
9311,0
11723,0
7051,0
6561,0
34144,0
26300,0
1255,0
40714,0
33051,0
31133,0
43512,0
23849,0
42458,0
39039,0
43995,0
37898,0
16286,0
42678,0
41708,0
37887,1
28230,0
18188,0
11677,0
11255,1
24128,0
10335,0
22019,0
31099,1
12230,0
13869,0
44978,0
43897,0
5861,1
11646,0
47669,1
10978,1
37294,1
37649,0
41166,0
13311,0
6136,0
28211,1
34618,1
43785,0
16436,0
8604,1
4239,1
7308,0
475,0
48430,0
47550,0
2831,0
6947,0
17662,0
31248,0
10757,0
7096,1
14647,1
5425,0
1403,0
36362,0
29552,0
3531,1
15850,0
27583,0
31597,0
6746,1
38174,0
41677,0
8976,0
48288,0
4829,1
22264,0
16142,0
43159,0
41398,0
46141,1
43498,1
2487,0
21289,0
23040,0
15596,0
3197,0
15366,0
16938,0
32933,0
4246,0
26425,1
11815,0
1190,1
22173,0
8117,0
5129,0
1974,0
29156,1
19803,0
42173,0
35958,0
41113,0
46999,0
32092,0
24633,0
29189,0
14502,0
28215,0
30495,0
3832,0
13584,1
25417,0
45444,0
24382,0
11846,0
48273,1
22370,0
40643,1
922,0
33849,0
13812,0
43285,0
817,0
37311,0
45037,0
26314,1
25974,0
19796,1
19101,0
43623,0
31743,1
15106,0
40953,0
44706,0
37212,0
5279,0
38386,0
7079,1
8283,1
12197,0
39206,1
16602,0
30222,1
16708,0
8457,1
9399,1
21551,0
34961,1
41885,1
27845,0
31878,0
24896,0
32919,0
30235,1
11417,0
19664,0
34724,1
35156,0
34855,0
1214,1
13672,1
9848,0
4623,0
31871,1
10493,0
42918,1
13806,0
33146,1
32444,0
20668,0
32171,0
11793,1
14770,0
7226,0
31540,1
20104,0
16559,0
30973,0
46080,0
35788,1
33068,0
11070,0
2263,0
18417,0
15147,0
22610,0
33503,0
24174,1
39498,0
34205,0
40448,0
17169,0
30144,0
4804,1
38448,0
8321,1
17334,1
10537,0
9380,0
13980,1
19873,0
11771,1
9942,0
19670,1
34393,1
29642,0
6356,0
17687,0
16316,0
14561,0
1099,0
4470,0
18268,0
27847,0
48743,1
29251,1
6555,0
46737,0
43892,0
15636,0
15546,0
3988,0
2323,0
6416,0
18301,0
14941,0
22887,1
24902,0
44770,1
17176,0
12467,0
5362,0
18819,1
48789,0
26882,0
1472,0
20691,0
47761,0
32406,0
4670,1
25548,0
15033,0
27795,1
1254,1
33142,0
2995,0
21119,0
19399,0
33927,1
24053,0
38157,1
4488,0
33427,0
40236,1
1641,0
48195,1
35537,0
23511,0
319,1
27201,1
41906,1
9370,0
27144,0
21985,0
17560,0
9564,1
45909,0
12355,0
6034,1
36759,0
16536,1
33125,0
39300,0
29168,0
23189,0
36550,0
26091,0
25266,0
35701,0
35055,0
10289,1
4824,0
27775,1
7432,0
2230,0
29646,0
21964,0
37839,0
26829,0
4770,0
43793,0
33484,0
11621,0
33007,0
26234,0
24080,0
42931,1
46863,0
36833,1
18850,1
37131,1
6675,1
21132,0
34718,0
28380,1
25785,0
46454,0
32373,1
23251,0
48711,0
21580,0
46759,0
277,0
11855,1
25841,0
27189,0
30485,1
45710,0
16882,0
26612,1
21170,0
43732,0
7647,0
34655,0
13274,1
45768,0
9455,0
19544,0
11763,0
27138,0
31624,1
15016,0
23854,0
44764,0
48518,0
34909,0
23315,1
45084,1
38147,1
34449,0
10504,0
39679,0
43603,1
2469,0
36930,1
44047,0
39999,0
10269,0
18544,0
3535,0
47970,0
39088,0
30300,0
34842,0
28827,1
13320,0
39174,0
2877,0
29858,1
2785,0
11927,0
44230,0
33163,0
19279,0
1607,0
40949,0
19798,1
22936,1
22867,0
5611,0
20362,0
29613,0
42079,0
7379,0
23797,0
11340,0
3429,0
19906,0
35560,0
22418,1
978,1
7725,1
43261,1
6132,1
34180,0
14080,0
14730,0
42907,0
30005,0
38860,0
28904,0
26117,0
33800,0
41845,0
28384,0
2638,0
12451,0
41185,0
36549,1
43129,0
6627,0
38232,0
8307,0
22271,0
12269,0
22994,1
6832,0
40034,0
42089,1
38813,0
47857,1
32153,0
24140,0
902,0
45461,0
38765,0
7623,0
34780,0
2912,1
35770,0
10904,1
1623,0
45313,1
43476,0
43416,0
239,0
30032,0
36997,0
25142,0
44877,1
5419,0
7990,0
11630,0
16226,0
3443,0
12922,0
46634,0
29685,0
2759,0
22147,0
14887,0
4383,0
25550,1
2457,0
46751,1
48644,0
35528,1
4597,0
29841,0
33093,0
42934,0
38190,0
31631,0
48341,0
39947,0
10981,1
9575,0
34384,0
47267,0
20950,1
41683,0
29727,0
12724,0
7873,0
46487,0
42003,1
11424,0
40091,0
36846,0
48306,1
1094,0
21488,0
34633,1
42783,0
42984,0
15981,0
44830,0
30003,1
33304,0
14918,1
5177,0
28684,0
6859,0
21408,0
19192,0
20775,0
38459,0
42332,0
27075,0
35063,0
15648,1
34365,0
22003,0
11939,0
2902,0
1234,0
41213,0
821,0
47055,0
32501,1
46335,0
25352,0
5854,1
23569,0
47139,1
849,0
25083,0
21672,0
39461,0
18506,0
20967,0
24594,0
39175,0
3262,0
42054,0
441,0
30741,0
45713,0
37378,1
46357,1
46939,0
10817,0
193,0
26160,0
27206,0
758,0
527,0
32822,0
38787,1
144,0
14771,1
34776,0
4463,1
14026,0
45799,0
35209,0
24441,1
2482,0
39224,1
25349,0
9484,1
9093,1
16651,0
38513,0
41810,0
46139,0
12749,0
6043,0
39692,1
6703,0
1368,0
32941,0
3143,0
46962,1
29475,1
6342,1
45059,1
8102,0
21397,0
15726,0
48638,0
10940,0
27503,0
19318,0
32251,0
26802,0
23432,0
16969,0
35493,0
41296,0
36038,0
35906,0
4659,1
12262,1
24912,0
27153,0
190,1
41762,1
47157,0
5512,0
2539,0
24576,0
34088,0
33470,0
38954,0
23610,0
10617,1
23244,0
2325,0
20486,0
35727,0
11009,0
26457,0
39572,0
8305,1
14605,0
41580,0
11185,0
14266,0
30340,0
26892,0
33493,0
11443,1
5173,0
5226,1
28157,0
27972,0
29713,0
45408,1
11198,0
7252,0
31703,0
33872,1
21257,1
33933,0
23604,0
7424,0
12494,1
4118,0
7746,1
753,0
29773,0
42221,1
11290,1
1697,0
1568,0
42,0
839,0
6599,1
43515,0
4722,0
125,0
6567,0
5421,1
4524,1
28551,0
8655,0
48678,0
42065,0
42689,0
41284,0
25811,0
13907,0
13227,1
14165,0
6720,0
25190,1
33505,1
47450,0
5460,0
42006,1
17000,1
48741,0
6323,0
22528,0
21503,1
16866,0
21311,0
25972,0
5284,0
25159,0
21120,0
8017,0
41077,0
41598,0
726,1
25796,0
33669,1
36303,0
26623,1
9571,0
38283,0
34868,0
21251,1
17044,1
10945,0
29500,0
10526,1
21099,0
37461,1
20568,0
29881,0
22612,1
5719,1
7909,0
1700,0
35245,0
40021,0
23470,0
38407,0
19539,0
35432,0
28217,0
36974,0
5788,0
31034,0
8899,1
47001,0
9083,0
32794,0
24531,0
31722,0
25286,1
13667,1
6563,0
27439,0
8,0
5745,0
44813,0
24724,0
3096,0
31887,0
16889,0
26522,1
15345,0
11732,0
17098,1
33383,0
27543,0
10359,0
3693,0
15779,0
23135,0
34688,0
2489,0
42370,1
12644,0
4642,1
4037,0
36719,0
12521,0
33990,1
465,0
22689,0
26514,0
36291,1
6894,0
25607,0
45061,0
23726,0
29706,0
40786,0
34775,1
14507,0
10792,1
48580,0
20735,0
41319,0
42514,0
10431,0
7915,1
17877,0
20773,1
47485,1
44919,0
45047,0
13576,1
23579,0
17445,1
17156,1
27124,0
5950,0
9289,0
16404,1
26353,0
6704,1
39310,1
29535,0
38826,0
12693,0
22793,1
2458,1
19701,0
36297,0
9557,0
17205,0
32508,1
23177,0
14234,0
39377,0
15253,0
14342,0
36254,0
14442,0
36323,1
40402,0
11868,1
18720,0
4603,0
42191,0
15247,0
19882,0
38308,0
33623,0
42293,0
40925,0
17502,0
14866,0
24473,0
7619,0
25820,0
48583,1
32435,0
32823,0
43679,0
41947,0
163,0
2307,0
6503,0
45376,0
38696,0
26859,0
26107,1
11531,0
45450,1
11955,0
6660,0
32572,0
18131,0
1391,0
25598,0
39618,0
2720,1
20332,0
48020,0
1860,0
40994,1
19748,0
4022,1
37253,0
4947,0
21528,0
11087,0
43974,0
30198,0
22215,0
11398,0
42876,0
8099,1
18165,0
36793,1
14562,1
20415,0
22687,1
17728,0
11293,0
16391,0
11441,0
13152,0
15870,0
89,1
34213,0
29178,0
47264,0
21963,1
48372,0
24266,0
30021,0
29831,0
23878,0
11672,0
29675,1
39314,0
38047,0
47863,0
38831,0
45915,0
17607,0
22048,1
413,0
18999,0
2146,0
21641,0
25045,0
45150,0
47477,0
38141,0
36293,0
32530,0
34146,0
6712,0
5309,0
3922,1
48376,0
46821,0
11717,0
45728,0
24372,1
35846,0
37924,0
999,0
30798,0
5116,0
26759,0
4259,0
16411,0
44976,0
11833,0
45394,1
46369,0
36365,0
5877,0
45040,1
14362,0
14197,0
39829,1
46370,0
18844,0
14399,0
2180,0
1469,0
28078,1
33522,1
39074,1
32775,0
18163,1
15557,0
34078,0
10927,0
15312,0
3076,0
42334,0
5625,0
42058,1
45429,0
19753,0
41943,0
39566,1
26781,0
37594,0
20251,0
19525,0
1426,0
35409,0
16096,0
15093,0
32668,0
966,0
38955,0
24820,0
20038,0
22485,0
4147,0
33678,1
8823,0
25787,1
22576,1
35568,0
41707,1
5216,0
18821,0
41924,0
44043,0
26733,0
31335,0
957,1
44491,0
29681,0
33020,0
8221,1
32293,1
39429,0
44113,1
39649,1
27287,0
6057,1
43461,0
9590,0
27382,0
10918,1
36598,0
27414,0
36157,0
1809,0
23474,0
17619,0
41313,0
13593,0
24461,0
14450,1
25462,0
8831,0
17155,0
18655,0
30987,0
11454,0
39500,0
3035,0
18425,0
15803,0
13070,1
23273,1
19990,0
3437,0
43571,1
5183,0
25139,0
19665,1
34272,1
1679,1
45098,1
26466,1
13843,0
42128,1
36732,0
11474,0
10936,1
44447,0
39106,0
33428,0
1039,0
23188,0
45360,0
43074,0
14958,1
8558,0
40346,1
48646,1
12816,0
37817,0
37210,1
37551,0
5516,0
8230,1
13151,1
25594,0
19483,0
2261,0
17495,0
33847,1
22726,0
13572,0
31281,0
37177,0
6635,0
20074,0
23801,0
42816,0
37281,0
40508,0
25831,0
10399,1
15815,1
442,0
26134,0
44624,0
41505,0
13180,0
20056,0
44502,0
23831,1
44692,0
38353,0
1112,1
41542,1
13009,0
1209,0
19807,0
9103,0
41661,0
22137,0
28729,1
27606,1
12436,0
14329,0
29857,0
41693,0
44947,0
10687,0
7488,0
35094,0
17331,0
28884,0
15025,1
35235,0
43275,0
5596,0
2683,0
1002,0
25790,0
46963,0
689,0
2098,0
5886,1
20876,1
23586,1
18046,1
17918,0
41623,0
45810,0
18161,0
41649,0
24819,1
27203,0
47492,0
28630,0
2242,0
32613,0
48722,1
22622,0
11391,0
35836,1
2687,0
3506,0
8683,1
23295,0
18969,0
7937,0
19155,1
26467,1
9136,0
34743,1
16110,0
36271,0
23571,1
25750,1
40713,0
32426,0
15973,1
28168,0
24356,0
67,0
27659,0
29524,0
5849,0
29967,0
19187,0
1510,0
23334,0
48690,0
9392,0
17484,1
3870,0
40594,1
45943,0
1702,0
9294,0
42808,0
6754,0
4130,1
1278,0
25130,0
47718,0
4144,0
27467,0
44240,0
23067,0
27936,0
24368,0
17269,0
40610,1
25960,0
19283,0
45671,0
3125,0
40306,1
35074,0
19431,0
37794,0
176,0
25337,0
7148,0
1995,0
8157,1
1427,0
2101,1
27911,0
39689,0
21906,1
47777,1
34219,1
39888,0
31539,0
40773,0
43266,1
28854,1
8351,0
30906,0
5451,0
37279,0
40920,0
21067,0
46328,0
22104,0
7818,0
32439,0
21722,0
44993,0
47681,0
43053,0
40802,0
35506,1
25220,1
42449,1
23868,0
7319,1
24628,0
12311,0
1934,0
40109,0
39291,1
35692,0
19531,0
46851,0
24945,0
31741,1
18203,1
13563,0
12306,0
29877,0
31560,1
43601,0
11668,1
26363,1
7637,0
47504,0
3079,0
36981,0
36497,1
30486,0
48797,0
9192,1
157,0
32929,0
46864,0
9753,0
14596,0
46576,0
25812,0
313,1
9866,0
42362,0
46796,0
769,1
38553,1
37639,1
16517,0
4690,0
7898,0
8159,0
22276,0
17066,0
27451,1
45193,1
13242,0
48093,0
33687,0
14061,0
30463,0
22606,1
31307,0
8069,1
38256,0
32584,1
21044,1
14684,0
21957,0
10598,1
8492,0
677,0
33173,0
2883,0
35887,0
12545,0
48773,0
1005,1
7290,0
20322,0
14933,0
11314,0
5587,0
6462,1
10645,1
5639,0
48825,0
13223,0
43087,1
22780,1
11862,0
35442,0
5667,0
15327,1
41027,1
38279,1
7794,0
3510,1
32117,0
10266,0
42346,1
46628,0
19221,0
13118,1
23284,0
29348,0
19065,0
21028,1
11528,0
46585,0
34465,0
11580,0
29456,0
38651,0
38938,0
33489,0
2069,0
12963,0
6198,0
45752,1
24123,0
16619,0
42082,0
23167,0
11917,1
4949,0
13165,1
14790,0
14678,1
27212,0
20549,0
48554,0
29737,0
19410,1
24264,1
39559,1
10279,0
11396,1
5465,0
34797,0
17268,0
29054,0
31233,0
4973,1
20212,0
46123,0
434,0
19561,0
12223,0
9258,1
33442,0
41870,0
4583,1
19876,1
45125,0
15723,0
17651,0
25231,0
15496,0
32774,0
17512,0
20932,0
2453,0
7936,0
41490,1
46395,0
7078,0
46732,1
17379,1
34786,0
2519,0
11226,0
4374,0
36404,0
36628,0
6351,1
47390,0
34349,1
22028,1
23709,0
32666,0
3062,0
6729,0
42593,0
3615,1
26123,1
1399,1
560,0
4186,0
8582,0
37497,1
12520,1
18005,0
46349,0
13554,1
7471,1
27807,0
46415,0
34486,0
26507,0
5528,1
25616,0
12055,0
26302,0
28246,0
10973,0
48141,0
33341,0
30493,0
39864,0
29970,0
45989,1
24950,1
6727,0
18663,0
33651,1
19430,0
41331,0
33268,1
9315,0
15469,0
39277,0
2521,0
13295,0
45223,0
1715,0
33076,0
11299,0
45999,1
28947,0
7948,0
36085,1
17184,0
21768,1
29748,0
34433,0
47226,1
15580,0
48165,1
16571,0
28858,0
43012,0
37460,0
27563,0
45882,0
28232,0
22673,1
16867,0
5522,1
42405,1
34476,0
39321,1
14517,0
7297,0
41604,0
41987,0
32604,0
5822,0
14523,0
4887,0
36227,0
43711,0
6016,0
23879,0
46513,0
12088,0
26085,0
37471,1
17226,0
13088,0
44866,0
12866,1
15661,0
36164,0
11808,0
30267,0
15824,1
16902,0
47821,0
2848,0
26412,0
11395,1
35283,1
30115,0
5388,0
39567,0
3940,0
20442,0
44859,0
39515,0
36121,0
33962,0
4705,0
48229,0
31206,1
18119,0
16483,1
47179,0
7465,0
16131,0
28033,1
40763,1
8549,1
17597,1
25103,0
34290,1
3270,0
28989,0
26576,0
17230,0
27466,1
21982,0
44690,0
16338,0
24774,0
41441,1
1329,0
37061,1
28050,0
40235,0
9469,0
37514,0
10021,0
38091,0
3312,0
34310,0
11930,0
27522,0
30515,1
622,0
33633,0
18004,1
25858,0
44600,0
30046,0
5004,0
776,1
24489,1
8273,0
18017,0
42127,0
40961,0
19338,0
37929,0
30280,0
25698,0
972,0
46884,0
17748,0
15427,0
11953,0
13766,0
31413,1
6361,1
23595,0
10138,0
45951,0
42192,1
