,Class
69047,0
19498,0
215705,0
277603,0
152305,0
178307,0
97194,0
104456,0
245517,0
56258,0
18278,0
284334,0
115251,0
128825,0
217283,0
141351,0
84990,0
113135,0
217482,0
223681,0
17753,0
136623,0
276657,0
58312,0
201604,0
86094,0
255508,0
125634,0
248907,0
203381,0
63968,0
242606,0
23640,0
144239,0
71954,0
29659,0
69963,0
82312,0
210055,0
12757,0
136235,0
154292,0
189373,0
127582,0
150233,0
217403,0
268630,0
271475,0
152358,0
280063,0
221735,0
3934,0
81155,0
72311,0
127247,0
105354,0
127918,0
64785,0
60233,0
182108,0
73700,0
172935,0
163560,0
112584,0
72496,0
182004,0
219196,0
165967,0
94893,0
178914,0
23515,0
17856,0
265227,0
16195,0
253393,0
151958,0
229339,0
70775,0
87159,0
98513,0
68207,0
223783,0
178807,0
169899,0
353,0
247890,0
234283,0
170988,0
276222,0
202517,0
117760,0
213443,0
170146,0
259792,0
52638,0
269796,0
85947,0
17221,0
27644,0
138534,0
42049,0
240777,0
60765,0
63602,0
22567,0
250480,0
106134,0
239721,0
11133,0
17777,0
21348,0
100133,0
221543,0
260721,0
59004,0
40057,0
250301,0
260209,0
58042,0
164110,0
44972,0
163167,0
235576,0
257579,0
27130,0
67966,0
93777,0
53546,0
25366,0
163663,0
255829,0
254433,0
185345,0
71559,0
104775,0
277045,0
13469,0
206530,0
269034,0
270024,0
166621,0
133836,0
192990,0
32421,0
130755,0
109377,0
257717,0
89324,0
230372,0
38552,0
82672,0
25530,0
211891,0
28806,0
19654,0
4979,0
282121,0
21993,0
238244,0
253429,0
226219,0
143532,0
151388,0
25992,0
84704,0
56673,0
116911,0
262703,0
55173,0
232617,0
2308,0
231111,0
1871,0
204950,0
178132,0
164097,0
170556,0
77010,0
202424,0
183478,0
128123,0
220026,0
68538,0
279157,0
109170,0
275312,0
107531,0
257786,0
115364,0
33923,0
68034,0
93447,0
187753,0
179461,0
203889,0
145008,0
83564,0
84222,0
77,0
193616,0
218541,0
217753,0
47783,0
15903,0
137245,0
145743,0
201429,0
20218,0
234479,0
50436,0
118113,0
175189,0
247089,0
233378,0
147393,0
215157,0
221457,0
78349,0
181911,0
202257,0
7829,0
39494,0
259413,0
19655,0
153027,0
243919,0
105986,0
97250,0
7750,0
98080,0
136522,0
89874,0
159045,0
8374,0
271334,0
131116,0
46123,0
171927,0
280402,0
82750,0
117667,0
43282,0
28021,0
176460,0
53306,0
137276,0
169349,0
178921,0
7001,0
253839,0
220695,0
224662,0
239093,0
146454,0
70421,0
240603,0
212190,0
90532,0
80021,0
262197,0
257691,0
213676,0
115084,0
14698,0
178775,0
240464,0
20803,0
976,0
34222,0
224553,0
273957,0
159473,0
271180,0
221799,0
176812,0
241387,0
204998,0
125239,0
248489,0
194053,0
107818,0
125193,0
24348,0
264414,0
96185,0
147829,0
243507,0
32274,0
276170,0
213472,0
97636,0
240966,0
94060,0
235299,0
180246,0
108125,0
98792,0
195381,0
123398,0
240714,0
82524,0
222757,0
195981,0
276756,0
266065,0
109780,0
93152,0
135478,0
59779,0
15378,0
65879,0
176176,0
32247,0
2661,0
214373,0
169302,0
200387,0
6553,0
14762,0
172756,0
208227,0
125526,0
208710,0
278117,0
82679,0
40069,0
71339,0
159783,0
222376,0
47908,0
150519,0
149200,0
128027,0
261982,0
31823,0
159451,0
126009,0
79404,0
207379,0
114373,0
68099,0
142669,0
57739,0
183255,0
77967,0
52655,0
7868,0
191315,0
276609,0
56608,0
82697,0
175339,0
26280,0
60317,0
47568,0
223664,0
94076,0
48302,0
68053,0
272972,0
19280,0
193636,0
245891,0
31736,0
209031,0
204277,0
265963,0
261013,0
272597,0
100127,0
41158,0
47311,0
139750,0
228181,0
245004,0
51517,0
204204,0
99537,0
138956,0
132088,0
215376,0
268294,0
144126,0
193249,0
206926,0
109310,0
48743,0
115414,0
111842,0
80885,0
41424,0
146314,0
68716,0
40517,0
50654,0
218977,0
116236,0
71127,0
276789,0
115894,0
236162,0
94467,0
240601,0
191299,0
13596,0
89705,0
209252,0
62627,0
266455,0
208976,0
142866,0
77949,0
63921,0
176937,0
60240,0
120310,0
169244,0
56410,0
163204,0
99476,0
192844,0
43782,0
86950,0
237432,0
49868,0
168824,0
172092,0
88203,0
211661,0
137218,0
83521,0
172508,0
162766,0
202628,0
141131,0
108787,0
6917,0
160692,0
105848,0
51157,0
212745,0
67279,0
220588,0
116276,0
15204,1
121896,0
30630,0
218806,0
258276,0
210644,0
120570,0
281358,0
241438,0
138391,0
24856,0
134123,0
33625,0
197259,0
199547,0
230040,0
41161,0
48179,0
230438,0
198945,0
73137,0
240327,0
24922,0
246886,0
53341,0
34657,0
168840,0
90049,0
247493,0
187094,0
55578,0
172264,0
99988,0
2742,0
219156,0
215670,0
218268,0
169967,0
190020,0
148128,0
128757,0
4050,0
106506,0
77711,0
7689,0
119713,0
253973,0
248598,0
215799,0
49210,0
141436,0
25061,0
232619,0
207821,0
133726,0
188020,0
258366,0
221064,0
242007,0
165505,0
213613,0
9974,0
9016,0
146948,0
123052,0
129657,0
101759,0
6737,0
30830,0
2583,0
119969,0
148346,0
141832,0
25413,0
103987,0
203587,0
192872,0
111245,0
199598,0
240609,0
131583,0
281798,0
253993,0
51939,0
275945,0
62832,0
65470,0
170454,0
153584,0
32842,0
86531,0
212454,0
231629,0
22365,0
284257,0
185430,0
11787,0
24147,0
142938,0
199673,0
240987,0
67737,0
259257,0
142381,0
245770,0
39094,0
271723,0
120879,0
220310,0
154041,0
191,0
84933,0
264470,0
127225,0
35735,0
39671,0
76746,0
175713,0
35298,0
152832,0
169321,0
12175,0
277103,0
47866,0
4759,0
160975,0
138154,0
226643,0
240691,0
5375,0
200772,0
226917,0
67596,0
128435,0
168519,0
192105,0
160113,0
3856,0
102692,0
197398,0
254106,0
72207,0
77854,0
209464,0
120723,0
56313,0
55008,0
191636,0
134727,0
134097,0
79102,0
165896,0
45951,0
234187,0
100407,0
112402,0
202063,0
76728,0
48605,0
167937,0
141216,0
57111,0
225039,0
83874,0
202832,0
165373,0
181953,0
144838,0
105954,0
202496,0
107135,0
177766,0
236733,0
77883,0
201029,0
107747,0
203873,0
269210,0
8136,0
19535,0
231891,0
195295,0
168552,0
21355,0
203280,0
147526,0
254423,0
180645,0
37881,0
156317,0
94041,0
138305,0
86606,0
193934,0
4600,0
235841,0
8012,0
126976,0
7044,0
179020,0
207283,0
263471,0
251779,0
206341,0
219594,0
95804,0
92769,0
143570,0
131952,0
58498,0
67009,0
266511,0
129074,0
167955,0
214596,0
150792,0
231276,0
236790,0
182001,0
87482,0
204859,0
126958,0
89697,0
120705,0
279850,0
67559,0
133259,0
178868,0
154102,0
116448,0
141311,0
248706,0
24960,0
57287,0
151545,0
87335,0
18500,0
154390,0
38816,0
281371,0
141865,0
174740,0
23642,0
234720,0
132659,0
221893,0
53733,0
134730,0
244267,0
9095,0
175872,0
180754,0
19087,0
236361,0
202065,0
206168,0
25477,0
2874,0
255231,0
90991,0
126362,0
121870,0
113327,0
74533,0
248220,0
168694,0
211234,0
130026,0
281695,0
203770,0
164773,0
162840,0
94718,0
205547,0
113222,0
197622,0
21704,0
270225,0
78170,0
48834,0
197198,0
194576,0
224018,0
222519,0
199581,0
50283,0
156854,0
195894,0
202364,0
251138,0
193346,0
88973,0
149444,0
84278,0
22683,0
231064,0
174180,0
152849,0
139576,0
201160,0
16912,0
77259,0
222435,0
159680,0
159126,0
166419,0
207844,0
25285,0
29795,0
225349,0
873,0
55603,0
181303,0
272838,0
188504,0
141554,0
190684,0
84708,0
210922,0
143038,0
105998,0
151090,0
211784,0
143916,0
162673,0
72217,0
20561,0
170388,0
99200,0
85951,0
1366,0
964,0
58665,0
94842,0
112840,1
37600,0
15260,0
244889,0
180972,0
166440,0
163741,0
62990,0
244277,0
195226,0
80343,0
268303,0
4867,0
42199,0
264813,0
130630,0
244982,0
277000,0
251085,0
194657,0
200038,0
16280,0
85310,0
108342,0
26541,0
138763,0
6964,0
36849,0
207151,0
166383,0
76814,0
28081,0
81770,0
175093,0
99238,0
141443,0
214296,0
180221,0
79206,0
119764,0
67881,0
163462,0
41817,0
104946,0
123836,0
116255,0
244979,0
83403,0
114164,0
63337,0
231625,0
151684,0
247647,0
200445,0
234209,0
67217,0
1090,0
127190,0
89893,0
223416,0
86125,0
52279,0
45644,0
137727,0
173029,0
230931,0
247224,0
70162,0
257938,0
220883,0
243108,0
8205,0
25459,0
211778,0
46663,0
41708,0
103562,0
274614,0
171325,0
248453,0
64017,0
132666,0
246435,0
14422,0
138293,0
276482,0
280978,0
160163,0
260728,0
676,0
70021,0
38799,0
216533,0
103977,0
269296,0
271355,0
18228,0
49747,0
149851,0
240492,0
279673,0
41763,0
246466,0
113417,0
226286,0
248149,0
18153,0
45507,0
240986,0
143073,0
161102,0
94297,0
141947,0
132702,0
149757,0
244661,0
125487,0
232278,0
228701,0
280744,0
89772,0
84626,0
203148,0
184989,0
233404,0
26405,0
274806,0
242476,0
94874,0
280231,0
218629,0
94440,0
82638,0
179766,0
73103,0
92834,0
215254,0
221615,0
433,0
36689,0
252721,0
267518,0
98720,0
178862,0
173450,0
233765,0
255996,0
161159,0
208114,0
137453,0
214617,0
142833,0
30337,0
22147,0
182746,0
193006,0
103237,0
236110,0
150145,0
19363,0
146457,0
134514,0
133347,0
45045,0
211890,0
257256,0
2406,0
79290,0
92295,0
270995,0
264679,0
136796,0
266184,0
281471,0
51775,0
195680,0
222141,0
274168,0
261271,0
123160,0
263345,0
47162,0
19857,0
198927,0
251332,0
223433,0
240487,0
146077,0
250893,0
63761,0
190735,0
257551,0
33617,0
274578,0
37656,0
143425,0
242188,0
262288,0
111100,0
163977,0
237826,0
265833,0
49104,0
159987,0
67347,0
220769,0
132978,0
25871,0
254413,0
272086,0
127607,0
173676,0
